重庆联通,#genre#
重庆电信1,#genre#
CCTV1,http://14.108.209.204:8806/udp/235.254.199.51:7980
CCTV2,http://14.108.209.204:8806/udp/235.254.199.52:7980
CCTV3,http://14.108.209.204:8806/udp/235.254.199.53:7980
CCTV4,http://14.108.209.204:8806/udp/235.254.199.183:7980
CCTV5,http://14.108.209.204:8806/udp/235.254.199.54:7980
CCTV5+,http://14.108.209.204:8806/udp/235.254.199.121:7980
CCTV6,http://14.108.209.204:8806/udp/235.254.199.55:7980
CCTV7,http://14.108.209.204:8806/udp/235.254.199.56:7980
CCTV8,http://14.108.209.204:8806/udp/235.254.199.57:7980
CCTV9,http://14.108.209.204:8806/udp/235.254.199.58:7980
CCTV10,http://14.108.209.204:8806/udp/235.254.199.59:7980
CCTV11,http://14.108.209.204:8806/udp/235.254.196.161:7980
CCTV12,http://14.108.209.204:8806/udp/235.254.199.60:7980
CCTV13,http://14.108.209.204:8806/udp/235.254.196.162:7980
CCTV14,http://14.108.209.204:8806/udp/235.254.199.61:7980
CCTV15,http://14.108.209.204:8806/udp/235.254.196.163:7980
CCTV17,http://14.108.209.204:8806/udp/235.254.199.130:7980
湖南卫视,http://14.108.209.204:8806/udp/235.254.199.62:7980
江苏卫视,http://14.108.209.204:8806/udp/235.254.199.64:7980
浙江卫视,http://14.108.209.204:8806/udp/235.254.199.63:7980
东方卫视,http://14.108.209.204:8806/udp/235.254.199.73:7980
北京卫视,http://14.108.209.204:8806/udp/235.254.199.66:7980
广东卫视,http://14.108.209.204:8806/udp/235.254.197.186:7980
深圳卫视,http://14.108.209.204:8806/udp/235.254.199.71:7980
天津卫视,http://14.108.209.204:8806/udp/235.254.199.67:7980
安徽卫视,http://14.108.209.204:8806/udp/235.254.199.65:7980
山东卫视,http://14.108.209.204:8806/udp/235.254.199.69:7980
四川卫视,http://14.108.209.204:8806/udp/235.254.199.175:7980
重庆卫视,http://14.108.209.204:8806/udp/235.254.197.237:7980
湖北卫视,http://14.108.209.204:8806/udp/235.254.199.72:7980
辽宁卫视,http://14.108.209.204:8806/udp/235.254.199.68:7980
江西卫视,http://14.108.209.204:8806/udp/235.254.199.190:7980
贵州卫视,http://14.108.209.204:8806/udp/235.254.199.185:7980
河北卫视,http://14.108.209.204:8806/udp/235.254.199.184:7980
黑龙江卫视,http://14.108.209.204:8806/udp/235.254.199.70:7980
海南卫视,http://14.108.209.204:8806/udp/235.254.199.176:7980
东南卫视,http://14.108.209.204:8806/udp/235.254.199.129:7980
河南卫视,http://14.108.209.204:8806/udp/235.254.199.26:7980
吉林卫视,http://14.108.209.204:8806/udp/235.254.199.39:7980
山西卫视,http://14.108.209.204:8806/udp/235.254.199.41:7980
青海卫视,http://14.108.209.204:8806/udp/235.254.199.43:7980
云南卫视,http://14.108.209.204:8806/udp/235.254.199.25:7980
宁夏卫视,http://14.108.209.204:8806/udp/235.254.199.45:7980
新疆卫视,http://14.108.209.204:8806/udp/235.254.199.47:7980
内蒙古卫视,http://14.108.209.204:8806/udp/235.254.199.42:7980
广西卫视,http://14.108.209.204:8806/udp/235.254.199.38:7980
兵团卫视,http://14.108.209.204:8806/udp/235.254.197.171:7980
山东教育,http://14.108.209.204:8806/udp/235.254.199.153:7980
甘肃卫视,http://14.108.209.204:8806/udp/235.254.199.48:7980
西藏卫视,http://14.108.209.204:8806/udp/235.254.199.46:7980
